source,symbol,date,adjusted_close,total_return_index
yahoo_chart_public,BIL,2019-01-02,75.4831,100.0000
yahoo_chart_public,BIL,2019-01-03,75.5079,100.0328
yahoo_chart_public,BIL,2019-01-04,75.5161,100.0437
yahoo_chart_public,BIL,2019-01-07,75.5161,100.0437
yahoo_chart_public,BIL,2019-01-08,75.5161,100.0437
yahoo_chart_public,BIL,2019-01-09,75.5161,100.0437
yahoo_chart_public,BIL,2019-01-10,75.5244,100.0547
yahoo_chart_public,BIL,2019-01-11,75.5409,100.0765
yahoo_chart_public,BIL,2019-01-14,75.5326,100.0656
yahoo_chart_public,BIL,2019-01-15,75.5491,100.0875
yahoo_chart_public,BIL,2019-01-16,75.5574,100.0984
yahoo_chart_public,BIL,2019-01-17,75.5739,100.1203
yahoo_chart_public,BIL,2019-01-18,75.5739,100.1203
yahoo_chart_public,BIL,2019-01-22,75.5822,100.1312
yahoo_chart_public,BIL,2019-01-23,75.5822,100.1312
yahoo_chart_public,BIL,2019-01-24,75.6069,100.1640
yahoo_chart_public,BIL,2019-01-25,75.5987,100.1531
yahoo_chart_public,BIL,2019-01-28,75.6069,100.1640
yahoo_chart_public,BIL,2019-01-29,75.6069,100.1640
yahoo_chart_public,BIL,2019-01-30,75.6235,100.1859
yahoo_chart_public,BIL,2019-01-31,75.6235,100.1859
yahoo_chart_public,BIL,2019-02-01,75.6309,100.1958
yahoo_chart_public,BIL,2019-02-04,75.6391,100.2067
yahoo_chart_public,BIL,2019-02-05,75.6391,100.2067
yahoo_chart_public,BIL,2019-02-06,75.6557,100.2286
yahoo_chart_public,BIL,2019-02-07,75.6557,100.2286
yahoo_chart_public,BIL,2019-02-08,75.6722,100.2506
yahoo_chart_public,BIL,2019-02-11,75.6639,100.2396
yahoo_chart_public,BIL,2019-02-12,75.6805,100.2615
yahoo_chart_public,BIL,2019-02-13,75.6805,100.2615
yahoo_chart_public,BIL,2019-02-14,75.6970,100.2834
yahoo_chart_public,BIL,2019-02-15,75.6970,100.2834
yahoo_chart_public,BIL,2019-02-19,75.7135,100.3053
yahoo_chart_public,BIL,2019-02-20,75.7135,100.3053
yahoo_chart_public,BIL,2019-02-21,75.7218,100.3163
yahoo_chart_public,BIL,2019-02-22,75.7384,100.3382
yahoo_chart_public,BIL,2019-02-25,75.7301,100.3272
yahoo_chart_public,BIL,2019-02-26,75.7384,100.3382
yahoo_chart_public,BIL,2019-02-27,75.7467,100.3492
yahoo_chart_public,BIL,2019-02-28,75.7632,100.3711
yahoo_chart_public,BIL,2019-03-01,75.7715,100.3820
yahoo_chart_public,BIL,2019-03-04,75.7632,100.3711
yahoo_chart_public,BIL,2019-03-05,75.7715,100.3820
yahoo_chart_public,BIL,2019-03-06,75.7797,100.3930
yahoo_chart_public,BIL,2019-03-07,75.7964,100.4150
yahoo_chart_public,BIL,2019-03-08,75.8046,100.4259
yahoo_chart_public,BIL,2019-03-11,75.8046,100.4259
yahoo_chart_public,BIL,2019-03-12,75.8129,100.4369
yahoo_chart_public,BIL,2019-03-13,75.8212,100.4479
yahoo_chart_public,BIL,2019-03-14,75.8212,100.4479
yahoo_chart_public,BIL,2019-03-15,75.8295,100.4589
yahoo_chart_public,BIL,2019-03-18,75.8378,100.4699
yahoo_chart_public,BIL,2019-03-19,75.8378,100.4699
yahoo_chart_public,BIL,2019-03-20,75.8378,100.4699
yahoo_chart_public,BIL,2019-03-21,75.8626,100.5028
yahoo_chart_public,BIL,2019-03-22,75.8626,100.5028
yahoo_chart_public,BIL,2019-03-25,75.8626,100.5028
yahoo_chart_public,BIL,2019-03-26,75.8709,100.5138
yahoo_chart_public,BIL,2019-03-27,75.8792,100.5247
yahoo_chart_public,BIL,2019-03-28,75.8958,100.5467
yahoo_chart_public,BIL,2019-03-29,75.8958,100.5467
yahoo_chart_public,BIL,2019-04-01,75.9090,100.5643
yahoo_chart_public,BIL,2019-04-02,75.9007,100.5533
yahoo_chart_public,BIL,2019-04-03,75.9090,100.5643
yahoo_chart_public,BIL,2019-04-04,75.9339,100.5973
yahoo_chart_public,BIL,2019-04-05,75.9339,100.5973
yahoo_chart_public,BIL,2019-04-08,75.9339,100.5973
yahoo_chart_public,BIL,2019-04-09,75.9423,100.6083
yahoo_chart_public,BIL,2019-04-10,75.9423,100.6083
yahoo_chart_public,BIL,2019-04-11,75.9671,100.6413
yahoo_chart_public,BIL,2019-04-12,75.9671,100.6413
yahoo_chart_public,BIL,2019-04-15,75.9755,100.6523
yahoo_chart_public,BIL,2019-04-16,75.9755,100.6523
yahoo_chart_public,BIL,2019-04-17,75.9920,100.6742
yahoo_chart_public,BIL,2019-04-18,76.0004,100.6853
yahoo_chart_public,BIL,2019-04-22,76.0004,100.6853
yahoo_chart_public,BIL,2019-04-23,76.0004,100.6853
yahoo_chart_public,BIL,2019-04-24,76.0170,100.7072
yahoo_chart_public,BIL,2019-04-25,76.0336,100.7293
yahoo_chart_public,BIL,2019-04-26,76.0253,100.7183
yahoo_chart_public,BIL,2019-04-29,76.0336,100.7293
yahoo_chart_public,BIL,2019-04-30,76.0419,100.7403
yahoo_chart_public,BIL,2019-05-01,76.0452,100.7447
yahoo_chart_public,BIL,2019-05-02,76.0535,100.7557
yahoo_chart_public,BIL,2019-05-03,76.0618,100.7667
yahoo_chart_public,BIL,2019-05-06,76.0702,100.7777
yahoo_chart_public,BIL,2019-05-07,76.0785,100.7887
yahoo_chart_public,BIL,2019-05-08,76.0785,100.7887
yahoo_chart_public,BIL,2019-05-09,76.0868,100.7997
yahoo_chart_public,BIL,2019-05-10,76.1034,100.8218
yahoo_chart_public,BIL,2019-05-13,76.0951,100.8107
yahoo_chart_public,BIL,2019-05-14,76.1034,100.8218
yahoo_chart_public,BIL,2019-05-15,76.1117,100.8328
yahoo_chart_public,BIL,2019-05-16,76.1201,100.8439
yahoo_chart_public,BIL,2019-05-17,76.1284,100.8548
yahoo_chart_public,BIL,2019-05-20,76.1367,100.8658
yahoo_chart_public,BIL,2019-05-21,76.1367,100.8658
yahoo_chart_public,BIL,2019-05-22,76.1533,100.8879
yahoo_chart_public,BIL,2019-05-23,76.1700,100.9100
yahoo_chart_public,BIL,2019-05-24,76.1700,100.9100
yahoo_chart_public,BIL,2019-05-28,76.1783,100.9210
yahoo_chart_public,BIL,2019-05-29,76.1783,100.9210
yahoo_chart_public,BIL,2019-05-30,76.2032,100.9540
yahoo_chart_public,BIL,2019-05-31,76.2032,100.9540
yahoo_chart_public,BIL,2019-06-03,76.1999,100.9496
yahoo_chart_public,BIL,2019-06-04,76.2166,100.9717
yahoo_chart_public,BIL,2019-06-05,76.2166,100.9717
yahoo_chart_public,BIL,2019-06-06,76.2415,101.0047
yahoo_chart_public,BIL,2019-06-07,76.2332,100.9938
yahoo_chart_public,BIL,2019-06-10,76.2499,101.0158
yahoo_chart_public,BIL,2019-06-11,76.2415,101.0047
yahoo_chart_public,BIL,2019-06-12,76.2499,101.0158
yahoo_chart_public,BIL,2019-06-13,76.2749,101.0490
yahoo_chart_public,BIL,2019-06-14,76.2832,101.0600
yahoo_chart_public,BIL,2019-06-17,76.2832,101.0600
yahoo_chart_public,BIL,2019-06-18,76.2832,101.0600
yahoo_chart_public,BIL,2019-06-19,76.2999,101.0820
yahoo_chart_public,BIL,2019-06-20,76.3083,101.0932
yahoo_chart_public,BIL,2019-06-21,76.3083,101.0932
yahoo_chart_public,BIL,2019-06-24,76.3166,101.1042
yahoo_chart_public,BIL,2019-06-25,76.3166,101.1042
yahoo_chart_public,BIL,2019-06-26,76.3332,101.1262
yahoo_chart_public,BIL,2019-06-27,76.3332,101.1262
yahoo_chart_public,BIL,2019-06-28,76.3416,101.1373
yahoo_chart_public,BIL,2019-07-01,76.3374,101.1317
yahoo_chart_public,BIL,2019-07-02,76.3457,101.1428
yahoo_chart_public,BIL,2019-07-03,76.3708,101.1760
yahoo_chart_public,BIL,2019-07-05,76.3625,101.1650
yahoo_chart_public,BIL,2019-07-08,76.3625,101.1650
yahoo_chart_public,BIL,2019-07-09,76.3708,101.1760
yahoo_chart_public,BIL,2019-07-10,76.3791,101.1870
yahoo_chart_public,BIL,2019-07-11,76.3958,101.2092
yahoo_chart_public,BIL,2019-07-12,76.4042,101.2202
yahoo_chart_public,BIL,2019-07-15,76.4042,101.2202
yahoo_chart_public,BIL,2019-07-16,76.4125,101.2313
yahoo_chart_public,BIL,2019-07-17,76.4125,101.2313
yahoo_chart_public,BIL,2019-07-18,76.4375,101.2644
yahoo_chart_public,BIL,2019-07-19,76.4375,101.2644
yahoo_chart_public,BIL,2019-07-22,76.4375,101.2644
yahoo_chart_public,BIL,2019-07-23,76.4292,101.2534
yahoo_chart_public,BIL,2019-07-24,76.4459,101.2756
yahoo_chart_public,BIL,2019-07-25,76.4626,101.2977
yahoo_chart_public,BIL,2019-07-26,76.4543,101.2866
yahoo_chart_public,BIL,2019-07-29,76.4709,101.3087
yahoo_chart_public,BIL,2019-07-30,76.4709,101.3087
yahoo_chart_public,BIL,2019-07-31,76.4793,101.3198
yahoo_chart_public,BIL,2019-08-01,76.5002,101.3475
yahoo_chart_public,BIL,2019-08-02,76.5002,101.3475
yahoo_chart_public,BIL,2019-08-05,76.4918,101.3364
yahoo_chart_public,BIL,2019-08-06,76.5002,101.3475
yahoo_chart_public,BIL,2019-08-07,76.5169,101.3696
yahoo_chart_public,BIL,2019-08-08,76.5253,101.3807
yahoo_chart_public,BIL,2019-08-09,76.5169,101.3696
yahoo_chart_public,BIL,2019-08-12,76.5336,101.3918
yahoo_chart_public,BIL,2019-08-13,76.5420,101.4029
yahoo_chart_public,BIL,2019-08-14,76.5336,101.3918
yahoo_chart_public,BIL,2019-08-15,76.5671,101.4361
yahoo_chart_public,BIL,2019-08-16,76.5587,101.4250
yahoo_chart_public,BIL,2019-08-19,76.5587,101.4250
yahoo_chart_public,BIL,2019-08-20,76.5671,101.4361
yahoo_chart_public,BIL,2019-08-21,76.5587,101.4250
yahoo_chart_public,BIL,2019-08-22,76.5839,101.4583
yahoo_chart_public,BIL,2019-08-23,76.5754,101.4471
yahoo_chart_public,BIL,2019-08-26,76.5839,101.4583
yahoo_chart_public,BIL,2019-08-27,76.5922,101.4694
yahoo_chart_public,BIL,2019-08-28,76.5839,101.4583
yahoo_chart_public,BIL,2019-08-29,76.6006,101.4804
yahoo_chart_public,BIL,2019-08-30,76.6090,101.4915
yahoo_chart_public,BIL,2019-09-03,76.6240,101.5115
yahoo_chart_public,BIL,2019-09-04,76.6156,101.5003
yahoo_chart_public,BIL,2019-09-05,76.6240,101.5115
yahoo_chart_public,BIL,2019-09-06,76.6324,101.5226
yahoo_chart_public,BIL,2019-09-09,76.6324,101.5226
yahoo_chart_public,BIL,2019-09-10,76.6491,101.5448
yahoo_chart_public,BIL,2019-09-11,76.6408,101.5337
yahoo_chart_public,BIL,2019-09-12,76.6575,101.5558
yahoo_chart_public,BIL,2019-09-13,76.6575,101.5558
yahoo_chart_public,BIL,2019-09-16,76.6575,101.5558
yahoo_chart_public,BIL,2019-09-17,76.6659,101.5669
yahoo_chart_public,BIL,2019-09-18,76.6826,101.5891
yahoo_chart_public,BIL,2019-09-19,76.6826,101.5891
yahoo_chart_public,BIL,2019-09-20,76.6910,101.6003
yahoo_chart_public,BIL,2019-09-23,76.7077,101.6224
yahoo_chart_public,BIL,2019-09-24,76.7077,101.6224
yahoo_chart_public,BIL,2019-09-25,76.7077,101.6224
yahoo_chart_public,BIL,2019-09-26,76.7246,101.6447
yahoo_chart_public,BIL,2019-09-27,76.7246,101.6447
yahoo_chart_public,BIL,2019-09-30,76.7329,101.6558
yahoo_chart_public,BIL,2019-10-01,76.7304,101.6524
yahoo_chart_public,BIL,2019-10-02,76.7304,101.6524
yahoo_chart_public,BIL,2019-10-03,76.7556,101.6858
yahoo_chart_public,BIL,2019-10-04,76.7556,101.6858
yahoo_chart_public,BIL,2019-10-07,76.7640,101.6969
yahoo_chart_public,BIL,2019-10-08,76.7640,101.6969
yahoo_chart_public,BIL,2019-10-09,76.7640,101.6969
yahoo_chart_public,BIL,2019-10-10,76.7807,101.7191
yahoo_chart_public,BIL,2019-10-11,76.7891,101.7302
yahoo_chart_public,BIL,2019-10-14,76.7807,101.7191
yahoo_chart_public,BIL,2019-10-15,76.7891,101.7302
yahoo_chart_public,BIL,2019-10-16,76.7975,101.7413
yahoo_chart_public,BIL,2019-10-17,76.8059,101.7525
yahoo_chart_public,BIL,2019-10-18,76.8059,101.7525
yahoo_chart_public,BIL,2019-10-21,76.8143,101.7636
yahoo_chart_public,BIL,2019-10-22,76.8143,101.7636
yahoo_chart_public,BIL,2019-10-23,76.8143,101.7636
yahoo_chart_public,BIL,2019-10-24,76.8311,101.7858
yahoo_chart_public,BIL,2019-10-25,76.8311,101.7858
yahoo_chart_public,BIL,2019-10-28,76.8227,101.7747
yahoo_chart_public,BIL,2019-10-29,76.8395,101.7969
yahoo_chart_public,BIL,2019-10-30,76.8479,101.8080
yahoo_chart_public,BIL,2019-10-31,76.8562,101.8191
yahoo_chart_public,BIL,2019-11-01,76.8554,101.8180
yahoo_chart_public,BIL,2019-11-04,76.8638,101.8292
yahoo_chart_public,BIL,2019-11-05,76.8554,101.8180
yahoo_chart_public,BIL,2019-11-06,76.8638,101.8292
yahoo_chart_public,BIL,2019-11-07,76.8806,101.8514
yahoo_chart_public,BIL,2019-11-08,76.8806,101.8514
yahoo_chart_public,BIL,2019-11-11,76.8806,101.8514
yahoo_chart_public,BIL,2019-11-12,76.8891,101.8626
yahoo_chart_public,BIL,2019-11-13,76.8891,101.8626
yahoo_chart_public,BIL,2019-11-14,76.8974,101.8737
yahoo_chart_public,BIL,2019-11-15,76.8891,101.8626
yahoo_chart_public,BIL,2019-11-18,76.9058,101.8848
yahoo_chart_public,BIL,2019-11-19,76.8974,101.8737
yahoo_chart_public,BIL,2019-11-20,76.9058,101.8848
yahoo_chart_public,BIL,2019-11-21,76.9058,101.8848
yahoo_chart_public,BIL,2019-11-22,76.9142,101.8960
yahoo_chart_public,BIL,2019-11-25,76.9142,101.8960
yahoo_chart_public,BIL,2019-11-26,76.9227,101.9071
yahoo_chart_public,BIL,2019-11-27,76.9394,101.9293
yahoo_chart_public,BIL,2019-11-29,76.9394,101.9293
yahoo_chart_public,BIL,2019-12-02,76.9453,101.9372
yahoo_chart_public,BIL,2019-12-03,76.9369,101.9260
yahoo_chart_public,BIL,2019-12-04,76.9453,101.9372
yahoo_chart_public,BIL,2019-12-05,76.9622,101.9595
yahoo_chart_public,BIL,2019-12-06,76.9622,101.9595
yahoo_chart_public,BIL,2019-12-09,76.9706,101.9706
yahoo_chart_public,BIL,2019-12-10,76.9706,101.9706
yahoo_chart_public,BIL,2019-12-11,76.9706,101.9706
yahoo_chart_public,BIL,2019-12-12,76.9874,101.9929
yahoo_chart_public,BIL,2019-12-13,76.9706,101.9706
yahoo_chart_public,BIL,2019-12-16,76.9874,101.9929
yahoo_chart_public,BIL,2019-12-17,76.9790,101.9818
yahoo_chart_public,BIL,2019-12-18,76.9958,102.0041
yahoo_chart_public,BIL,2019-12-19,77.0043,102.0152
yahoo_chart_public,BIL,2019-12-20,77.0084,102.0208
yahoo_chart_public,BIL,2019-12-23,77.0084,102.0208
yahoo_chart_public,BIL,2019-12-24,77.0169,102.0320
yahoo_chart_public,BIL,2019-12-26,77.0253,102.0431
yahoo_chart_public,BIL,2019-12-27,77.0169,102.0320
yahoo_chart_public,BIL,2019-12-30,77.0253,102.0431
